writing_id,topic_id,task_topic,task_type,RAG_specificity,RAG_specificity_raw,RAG_helpfulness,RAG_helpfulness_raw,RAG_validity,RAG_validity_raw,Baseline_specificity,Baseline_specificity_raw,Baseline_helpfulness,Baseline_helpfulness_raw,Baseline_validity,Baseline_validity_raw,One-shot_specificity,One-shot_specificity_raw,One-shot_helpfulness,One-shot_helpfulness_raw,One-shot_validity,One-shot_validity_raw
246,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.6,"[3, 4, 4, 3, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
270,1,Introducing yourself by email,narrative,3.4,"[3, 4, 4, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
380,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",2.6,"[2, 3, 3, 3, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
694,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
796,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",2.6,"[2, 3, 3, 3, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.8,"[4, 4, 3, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.2,"[3, 3, 3, 4, 3]"
1432,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]"
1476,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.8,"[2, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.2,"[4, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
1479,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]"
1753,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.2,"[3, 3, 4, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
1755,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.6,"[2, 3, 3, 3, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
1940,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.8,"[3, 2, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
2064,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.6,"[3, 3, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.2,"[2, 2, 2, 2, 3]",2.0,"[2, 2, 2, 2, 2]"
2203,5,Updating your online profile,narrative,2.0,"[2, 2, 2, 2, 2]",1.0,"[1, 1, 1, 1, 1]",1.0,"[1, 1, 1, 1, 1]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.6,"[2, 2, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",1.2,"[1, 1, 2, 1, 1]",1.0,"[1, 1, 1, 1, 1]"
2330,1,Introducing yourself by email,narrative,2.8,"[3, 3, 2, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
2389,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
2417,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.2,"[2, 2, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
2689,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
2698,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.2,"[3, 3, 4, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
2701,6,Signing up for a dating website,narrative,4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.6,"[3, 4, 4, 3, 4]"
2797,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
2834,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 3, 2, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
2861,5,Updating your online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.8,"[3, 2, 3, 3, 3]",2.4,"[2, 2, 2, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
2878,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 3, 2, 3, 2]",2.6,"[2, 3, 2, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
2916,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.8,"[3, 2, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.2,"[3, 2, 2, 2, 2]"
2985,1,Introducing yourself by email,narrative,4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 2, 3, 3]",3.8,"[3, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
3323,5,Updating your online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
3346,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
3347,4,Describing your family in an email,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.8,"[5, 5, 5, 5, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
3494,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.8,"[2, 3, 3, 3, 3]",2.8,"[2, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
3788,3,Writing an online profile,narrative,4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.8,"[4, 3, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
