writing_id,task_topic,task_type,c2_task_topic,edit_distance,move_sequence,c2_sequence,feedback_rag,feedback_oneshot,RAG_specificity,RAG_helpfulness,RAG_validity,One-shot_specificity,One-shot_helpfulness,One-shot_validity,rag_vs_oneshot_specificity,rag_vs_oneshot_helpfulness,rag_vs_oneshot_validity,heuristic_flags,error_type_primary,error_type_secondary,notes
1123,Introducing yourself by email,narrative,Writing a resume,1,Social_Opening -> Self_Introduction -> Social_Closing -> Social_Closing,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by saying hello and introducing yourself, then say goodbye twice.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically use a single social closing instead of repeating it.

ONE THING TO TRY:
Try ending your email with just one ""Bye!"" to make it clearer.","Great job starting with ""Hi!"" and introducing yourself! It’s good that you mentioned your name and age. Try adding more about yourself though—like where you're from or what you like to do. Ending with just ""Bye!"" can feel a bit abrupt. Maybe add one or two sentences about something else interesting about you. Keep practicing, Ruan Kaiwen!",2.8,1.0,2.0,4.6,3.0,4.0,-1.7999999999999998,-2.0,-2.0,"closing-emphasis, large-validity-gap, large-helpfulness-gap",retrieval/task mismatch,"closing-emphasis, large-validity-gap, large-helpfulness-gap",
3092,Introducing yourself by email,narrative,Writing a resume,4,Social_Closing -> Social_Closing -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Closing,Information_Reporting -> Information_Reporting -> Information_Reporting -> Self_Introduction -> Self_Introduction -> Information_Reporting,"YOUR CURRENT STRUCTURE:
You start by thanking Anna twice and closing with best regards. You then introduce yourself three times.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically keep the introduction focused without repeating themselves too much.

ONE THING TO TRY:
Try introducing yourself only once, like this: ""My name is Bella, I'm 24 years old, and I come from China."" This will make your email more clear and concise.","Great job! You've started with a greeting and thanked Anna. Then you told her your name and age. Next, you mentioned where you come from. This is a good order. Just remember to keep all the information about yourself together in one place. It makes it easier for Anna to understand. Keep up the good work!",2.0,2.0,2.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,"repetition-focused, closing-emphasis, weaker-retrieval, large-validity-gap, large-helpfulness-gap",retrieval/task mismatch,"repetition-focused, closing-emphasis, weaker-retrieval, large-validity-gap, large-helpfulness-gap",
5726,Updating your online profile,narrative,Writing a movie plot,4,Self_Introduction -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Information_Reporting -> Social_Closing,Information_Reporting -> Information_Reporting -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by introducing yourself four times and then provide some information about your job and a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually present more varied information in fewer self-introductions.

ONE THING TO TRY:
Try saying hello once, introduce yourself briefly, and then focus on the important details about your job. This is called Information_Reporting.","Great job, Cristiane! You told us your name first, then your age, where you live, and what you do. This is easy to follow. To make it even better, you could group the information about your work together at the end. Like this:

""Hi, my name is Cristiane. I'm forty-one years old. I'm from Brazil and I live in Londrina. I'm a psychologist and I work in a hospital. I like my job.""

Keep up the good work!",3.0,3.0,2.0,4.0,4.0,4.0,-1.0,-1.0,-2.0,"abstract-advice, explicit-move-label, weaker-retrieval, large-validity-gap, large-helpfulness-gap",retrieval/task mismatch,"abstract-advice, explicit-move-label, weaker-retrieval, large-validity-gap, large-helpfulness-gap",
5485,Signing up for a dating website,narrative,Writing a resume,5,Social_Opening -> Self_Introduction -> Self_Introduction -> Physical_Description -> Physical_Description -> Physical_Description -> Opinion_Evaluation,Information_Reporting -> Information_Reporting -> Information_Reporting -> Information_Reporting -> Physical_Description -> Physical_Description,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and your age twice, then describe your physical appearance in three separate sentences.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically organize their information more clearly without repeating moves unnecessarily.

ONE THING TO TRY:
Try to combine the self-introduction into one sentence. This will make your essay clearer and easier to read. For example, you can say: ""Hi, my name is Diego, I am twenty-seven years old.""","Great job telling us about yourself! You started with your name and age, which is good. Then you described what you look like and how you feel. This is a clear order that helps the reader understand who you are. Keep up the good work by staying organized like this!",3.0,3.0,2.0,3.8,4.0,4.0,-0.7999999999999998,-1.0,-2.0,"repetition-focused, weaker-retrieval, large-validity-gap, large-helpfulness-gap",retrieval/task mismatch,"repetition-focused, weaker-retrieval, large-validity-gap, large-helpfulness-gap",
1134,Signing up for a dating website,narrative,Writing a resume,4,Social_Opening -> Self_Introduction -> Physical_Description -> Physical_Description -> Social_Opening -> Social_Closing,Information_Reporting -> Physical_Description -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and then describe your physical appearance twice. You then end with a social opening.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically focus their introduction more clearly before moving to the closing part.

ONE THING TO TRY:
Try starting with why you're signing up for the dating website, which is an Information_Reporting move, and then close by wishing someone good luck in finding love. This will make your writing clearer and more relevant to the topic.","Great job, Eline! Your essay tells us about yourself clearly. You start by saying hello and introducing your name and age. Then you describe what you look like. It’s nice that you say ""nice to meet you!"" at the end. Just a small suggestion: next time, you could add something more about your interests or what you're looking for in a partner. This will help people get to know you better! Keep up the good work!",3.0,3.0,2.0,4.0,3.0,4.0,-1.0,0.0,-2.0,"abstract-advice, explicit-move-label, weaker-retrieval, large-validity-gap",retrieval/task mismatch,"abstract-advice, explicit-move-label, weaker-retrieval, large-validity-gap",
7473,Writing an online profile,narrative,Writing a resume,4,Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,Social_Opening -> Information_Reporting -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by saying hello and introducing yourself. Then you repeat your introduction twice more before ending with a goodbye.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers move on to share some information after the initial greeting.

ONE THING TO TRY:
Add one piece of information about yourself after introducing your name, like where you live or what you enjoy doing. This will help make your profile more interesting and complete.","Great job, Alex! You've started your profile with a friendly greeting and introduced yourself by sharing your name, age, and where you're from. That's a good start! Next time, try to add more information about yourself or what you like. Maybe mention a hobby or something interesting about your life. This will make your profile more fun to read. Keep up the good work!",3.0,3.0,2.0,4.0,3.0,4.0,-1.0,0.0,-2.0,"repetition-focused, weaker-retrieval, large-validity-gap",retrieval/task mismatch,"repetition-focused, weaker-retrieval, large-validity-gap",
254,Writing an online profile,narrative,Writing a resume,4,Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Closing -> Social_Closing,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and your location. You then repeat introductions multiple times without much detail. You close with a social opening and then say goodbye.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a clearer structure, like starting and ending with appropriate moves.

ONE THING TO TRY:
Try to start with one clear introduction (Self_Introduction) and end with a closing statement (Social_Closing). This will make your profile more organized.","Great job! You have a good start by introducing yourself and where you're from. Next time, try adding some information about what you do or your interests. This will help people get to know you better. It’s okay if it’s just a little bit. For now, keep up the good work!

Remember, you can organize your profile by first telling us who you are and where you come from, then mentioning your job or hobbies later on. Keep practicing!",3.0,3.0,2.2,3.0,4.0,4.0,0.0,-1.0,-1.7999999999999998,"repetition-focused, explicit-move-label, weaker-retrieval, large-validity-gap, large-helpfulness-gap",retrieval/task mismatch,"repetition-focused, explicit-move-label, weaker-retrieval, large-validity-gap, large-helpfulness-gap",
2875,Writing an online profile,narrative,Writing on the family blog,3,Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,Self_Introduction -> Daily_Routine -> Social_Closing,"YOUR CURRENT STRUCTURE:
Your essay starts with three introductions and ends with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
The C2 sequence uses two different moves (Self_Introduction and Social_Closing), while your essay has too many self-introductions at the beginning.

ONE THING TO TRY:
Try including one more move type, like describing something about your daily routine or hobbies. This will make your profile more interesting!","Great job starting with a greeting and introducing yourself! You’ve done well by mentioning your age and where you're from. It's nice that you ended with a friendly message too. To make it even better, you could add some information about what you like to do or any hobbies you have. This will help people get to know you more easily. Keep up the good work!",3.0,3.0,2.2,4.0,3.0,4.0,-1.0,0.0,-1.7999999999999998,"explicit-move-label, large-validity-gap",weak structural diagnosis,"explicit-move-label, large-validity-gap",
6381,Writing an online profile,narrative,Writing a resume,4,Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,Social_Opening -> Information_Reporting -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by saying hello and introducing yourself. Then you repeat your introduction and say goodbye twice.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically share more information about themselves in one go before moving on to a closing remark.

ONE THING TO TRY:
Try sharing some hobbies or interests after introducing yourself, like ""I enjoy playing soccer and reading books."" This will help you give the reader a better idea of who you are.","Great job starting with a friendly greeting! You could add a bit more about yourself to make your profile more interesting. Maybe include what you like to do or some hobbies. Right now, it’s a little short and doesn’t tell us much about Luca. Keep going, Luca!",3.0,3.0,2.4,3.0,4.0,4.0,0.0,-1.0,-1.6,"repetition-focused, weaker-retrieval, large-validity-gap, large-helpfulness-gap",retrieval/task mismatch,"repetition-focused, weaker-retrieval, large-validity-gap, large-helpfulness-gap",
3493,Updating your online profile,narrative,Writing a movie plot,5,Self_Introduction -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Information_Reporting -> Information_Reporting -> Social_Closing -> Information_Reporting,Information_Reporting -> Information_Reporting -> Information_Reporting -> Information_Reporting -> Information_Reporting -> Social_Closing -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by introducing yourself four times and then provide some information about your job.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically structure their writing with a clearer beginning, middle, and end. They might report more information throughout the text rather than repeating introductions.

ONE THING TO TRY:
Try starting with an introduction once, followed by information about where you live and your job. This helps keep your writing clear and focused.","Great job telling us about yourself! You start by introducing your name and age. Then you share where you're from and what you do. This is a good order. To make it even clearer, you could add a little more detail after saying you work for the Ministry of Justice. Maybe mention one or two things about your role there. Keep up the good work!",2.8,3.0,2.6,3.8,3.0,4.0,-1.0,0.0,-1.4,"repetition-focused, abstract-advice, weaker-retrieval, large-validity-gap",retrieval/task mismatch,"repetition-focused, abstract-advice, weaker-retrieval, large-validity-gap",
