writing_id,topic_id,task_topic,task_type,essay_text,move_sequence,c2_writing_id,c2_topic_id,c2_task_topic,c2_sequence,c2_structural_summary,edit_distance,feedback_rag,feedback_baseline,feedback_oneshot
254,3,Writing an online profile,narrative,"Hello! My name's Eliane. I'm from So Paulo, in Brazil. I'm twenty-eight years old. I'm singer. Nice to meet you. Goodbye! Eliane.",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and your location. You then repeat introductions multiple times without much detail. You close with a social opening and then say goodbye.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a clearer structure, like starting and ending with appropriate moves.

ONE THING TO TRY:
Try to start with one clear introduction (Self_Introduction) and end with a closing statement (Social_Closing). This will make your profile more organized.","Great job, Eliane! Your writing is clear and easy to understand. Here are some tips to make it even better:

1. Start with a greeting: Add ""Hello!"" at the beginning.
2. Introduce yourself: You did this well by saying your name!
3. Add more about yourself: Talk about what you like or do in your free time.
4. Use polite closings: Try using ""Thank you for reading"" instead of just ""Goodbye!""

Keep up the good work!","Great job! You have a good start by introducing yourself and where you're from. Next time, try adding some information about what you do or your interests. This will help people get to know you better. It’s okay if it’s just a little bit. For now, keep up the good work!

Remember, you can organize your profile by first telling us who you are and where you come from, then mentioning your job or hobbies later on. Keep practicing!"
380,8,Making a dinner party menu,descriptive,"Hi! This is the menu: The Stater is cheese and vegetables. Main Course is rice in chicken ans rice in meat. Dessert is vanilha ice cream or vanilha cake. Drinks have water, beer and delicious juice. Bye Andreza",Social_Opening -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,62889,48,Rescheduling an appointment,Social_Closing -> Social_Closing -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,"The sequence contains 7 moves. It uses these move types: Social_Closing, Opinion_Evaluation. Repeated runs: Social_Closing x2, Opinion_Evaluation x4. It begins with Social_Closing and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start with a social opening and then list all your menu items without much organization.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often use a more structured approach to present their ideas clearly.

ONE THING TO TRY:
Try using a Social_Closing at the end of your menu. This helps wrap up your writing nicely, like saying ""That’s all for our dinner party menu!""","Great job! You've started with a greeting and introduced the menu. It's clear what each part of the meal is. Next time, you could add some transitions to make it even easier to understand, like ""The starter is... The main course includes... And for dessert..."" Good structure overall! Keep up the good work!","Great job! You’ve divided your menu into different sections which is very clear. You could add a short sentence at the beginning to tell everyone this is your dinner party menu. For example: ""Hi! This is my dinner party menu:"" That way, it’s even easier for people to understand what you wrote. Keep up the good work!"
453,3,Writing an online profile,narrative,"Hi! My nane's Etefnia. I'm from Irece, Brasil. I'm thirty Years old. I like pop music. Nice to meet you. Bye!",Social_Opening -> Social_Closing -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Closing,968592,44,Writing a resume,Information_Reporting -> Social_Closing -> Opinion_Evaluation -> Social_Closing -> Social_Closing,"The sequence contains 5 moves. It uses these move types: Information_Reporting, Social_Closing, Opinion_Evaluation. Repeated runs: Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start with a social opening, introduce yourself twice, share an opinion, and end with another social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically include more structured information reporting about themselves before sharing opinions or closing the conversation.

ONE THING TO TRY:
Add some details about what you like to do in your free time under self-introduction. This will help others learn more about you and is a common structure in online profiles. You can use the move type ""Information_Reporting"" for this.","Great job starting with a friendly greeting! Your essay has some good ideas. It would be nice to have more details about yourself. Think of adding another sentence or two about your interests or hobbies. Also, consider changing ""I'm thirty Years old"" to ""I am thirty years old."" Keep up the good work!","Great job starting with a greeting! You did well by telling us your name and where you're from. Adding how old you are next is good too. It would be nice to know more about yourself though—maybe mention something you like or do in your free time. That way, people who read your profile will get to know you better. Keep it simple and positive!"
603,2,Taking inventory in the office,descriptive,"Dear Ms Thomas, There are 30 pens and 15 pencils in the office. Also, there are 12 desks, 14 chairs, 13 computers, 16 keyboards, 16 headphones and there is 1 table. Thanks. Gabriel.",Other -> Information_Reporting -> Social_Closing -> Social_Closing,613957,42,Filling in an arrival card,Information_Reporting -> Information_Reporting -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Information_Reporting, Social_Closing. Repeated runs: Information_Reporting x2, Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",1,"YOUR CURRENT STRUCTURE:
You start by reporting information about pens and pencils, then list other office items, and end with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers might provide more structured reporting of the inventory before ending with a social closing.

ONE THING TO TRY:
Try adding one or two sentences to group similar items together. For example: ""There are 30 pens and 15 pencils in the office. There are also 12 desks, 14 chairs, 13 computers, 16 keyboards, 16 headphones, and a table."" This helps organize the information better.

Good job listing all the items!","Great job, Gabriel! Your essay has all the right information. Here’s a small suggestion to make it clearer: start with the number of pens and pencils, then list the other items one by one. For example:

""Dear Ms Thomas,
There are 30 pens and 15 pencils in the office. There are also 12 desks, 14 chairs, 13 computers, 16 keyboards, 16 headphones, and 1 table.
Thanks,
Gabriel.""

This way, it's easier to follow! Keep up the good work!","Great job listing all the items in the office! You did a good job separating pens and pencils. Adding a sentence at the beginning to say what you are writing about would help make it clearer. For example, ""Hello Ms Thomas, I am taking an inventory of the office supplies and equipment."" Keep up the good work!"
604,3,Writing an online profile,narrative,"Hi! My name's Gabriel. I'm twenty-eight years old. I'm from Hidalgo, in Mexico. Nice to meet you. Bye!",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,988368,44,Writing a resume,Social_Opening -> Information_Reporting -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Social_Opening, Information_Reporting, Social_Closing. It begins with Social_Opening and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by saying hello and introducing yourself three times. You also say goodbye at the end.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually have a more balanced structure with different types of information throughout.

ONE THING TO TRY:
Try adding some information about your interests or hobbies. This can make your profile more interesting and engaging. It’s like telling us what you like to do in your free time.","Great job, Gabriel! Your essay has a good start. It introduces who you are and where you come from. To make it even better, you could add some more information about yourself. Maybe tell us something interesting or fun about your life in Hidalgo. This would help people get to know you better. Keep up the good work!","Great job, Gabriel! You've started your profile by introducing yourself and sharing your age and where you're from. It's nice to meet you too! Next time, try adding more about what you like or what you do in your free time. This will make your profile more interesting. Keep it simple and fun!"
692,1,Introducing yourself by email,narrative,Hello Anna! I'm fine thans! My name's Ronaldo. I'm 29 years old. Best wishes! Ronaldo,Social_Opening -> Other -> Self_Introduction -> Self_Introduction -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start by greeting Anna and introducing yourself twice. Then you say goodbye twice.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a clearer structure with better balance in opening and closing.

ONE THING TO TRY:
Try to introduce yourself once and end with a simple closing, like ""Best wishes!"" This will make your message more polished and focused. Use Self_Introduction x1 and Social_Closing x1.","Great job starting with a friendly greeting! Your essay has a good start and end. However, it could use more structure. Try adding one or two sentences about where you are from or what you like to do. This will make your introduction more interesting. Remember, we usually say ""thank you"" instead of ""thanks."" Keep practicing, and you'll get better!","Great job starting with ""Hello Anna!"" to show you're friendly. It’s nice to see you end with ""Best wishes!"" too. Your essay is short and clear, but try adding a bit more information about yourself. For example, you could include where you're from or what you do. This will help Anna get to know you better! Keep up the good work!"
694,3,Writing an online profile,narrative,"Hello! My name's Ronaldo Ruy. I'm twenty-nine years old. I'm from Rio de Janeiro, in Brazil, but nowadays I live in Ceara. Nice to meet you. Good bye! Ronaldo",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start by saying hello and introducing yourself twice. Then you mention your age, place of origin, and current location. You say nice to meet you and goodbye twice.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often use a clear structure with an opening and closing without repeating themselves as much.

ONE THING TO TRY:
Try starting with just one self-introduction move (Social_Opening) and end with a simple closing. For example: ""Hello! My name's Ronaldo Ruy. I'm twenty-nine years old, from Rio de Janeiro in Brazil, now living in Ceara.""","Great job starting with your name and age! It's good that you mentioned where you're from. However, your essay is a bit short and doesn't have many parts. Adding some sentences about what you like or do could make it more interesting. For example, you could say something like ""I love playing soccer and traveling."" This helps people learn more about you. Keep practicing!","Great job, Ronaldo! Your profile tells us about you in a clear way. You start with your name and age, then where you're from. It’s nice to see that you say ""Hello"" at the beginning and ""Good bye"" at the end. To make it even better, consider putting all the information together so it flows more smoothly. Keep up the good work!"
943,7,Writing labels for a clothing store,descriptive,"Hello!, this is Vintage Clothes store. This shirt is 10.99 dollars. These shoes are 25.99 dollars. This yellow box is 15.99 dollars. These skirts are 10.99 dollars each one. That jacket is 15.99 dollars. Thank you for your visit to our store!",Physical_Description -> Physical_Description -> Physical_Description -> Opinion_Evaluation -> Physical_Description -> Physical_Description -> Social_Closing,310310,43,Creating an office dress code,Physical_Description -> Physical_Description -> Physical_Description -> Physical_Description -> Physical_Description -> Physical_Description -> Social_Closing,"The sequence contains 7 moves. It uses these move types: Physical_Description, Social_Closing. Repeated runs: Physical_Description x6. It begins with Physical_Description and ends with Social_Closing.",1,"YOUR CURRENT STRUCTURE:
You start by describing items and their prices, then describe more items, give another price, and end with a thank you.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers might use more variety in describing the items or group similar items together before giving their prices.

ONE THING TO TRY:
Try grouping similar items together. For example, you could first describe all the shirts and their prices, then move on to shoes and skirts. This helps organize your writing better.","Great job starting with a greeting! Your labels are clear and easy to understand. You did well by listing items and their prices. Next time, you could organize your labels better by grouping similar items together. For example, you could have one line for shirts, another for shoes, etc. This makes it easier for customers to find what they're looking for. Keep up the good work!","Great job! You've done a good job organizing your labels. It’s easy to understand what each item is and its price. To make it even clearer, you could add a small description or category before the prices, like ""Shirt - $10.99"" or ""Jacket - $15.99"". Keep up the good work!"
1123,1,Introducing yourself by email,narrative,Hi! My name's Ruan Kaiwen.I'm 23 years old. Bye! Ruan Kaiwen.,Social_Opening -> Self_Introduction -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",1,"YOUR CURRENT STRUCTURE:
You start by saying hello and introducing yourself, then say goodbye twice.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically use a single social closing instead of repeating it.

ONE THING TO TRY:
Try ending your email with just one ""Bye!"" to make it clearer.","Great job starting with ""Hi!"" and introducing yourself! Your message has two main parts: telling your name and age. It's good to include both pieces of information. However, you can make it a bit more clear by adding a small transition like ""I am"" between the sentences. Here’s how you could organize it:

Hi! My name is Ruan Kaiwen. I am 23 years old.

Keep up the good work!","Great job starting with ""Hi!"" and introducing yourself! It’s good that you mentioned your name and age. Try adding more about yourself though—like where you're from or what you like to do. Ending with just ""Bye!"" can feel a bit abrupt. Maybe add one or two sentences about something else interesting about you. Keep practicing, Ruan Kaiwen!"
1134,6,Signing up for a dating website,narrative,"Hi! My name is Eline, I'm 25 year old. I'm tall and slim. I have short black hair and big brown eyes. Nice to meet you! Thank you!",Social_Opening -> Self_Introduction -> Physical_Description -> Physical_Description -> Social_Opening -> Social_Closing,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and then describe your physical appearance twice. You then end with a social opening.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically focus their introduction more clearly before moving to the closing part.

ONE THING TO TRY:
Try starting with why you're signing up for the dating website, which is an Information_Reporting move, and then close by wishing someone good luck in finding love. This will make your writing clearer and more relevant to the topic.","Hi Eline! Great job introducing yourself and telling us a bit about what you look like. Your essay has two main parts: saying hello and thanking someone. It's a good start! Next time, try adding more details about why you want to sign up for the dating website. This can help organize your writing better and make it even more interesting. Keep up the good work!","Great job, Eline! Your essay tells us about yourself clearly. You start by saying hello and introducing your name and age. Then you describe what you look like. It’s nice that you say ""nice to meet you!"" at the end. Just a small suggestion: next time, you could add something more about your interests or what you're looking for in a partner. This will help people get to know you better! Keep up the good work!"
