writing_id,cefr_level,move_sequence
4622,C1,"['Social_Opening', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Opinion_Evaluation', 'Social_Closing']"
4626,C1,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience']"
5644,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
7412,C2,"['Narrative_Experience', 'Narrative_Experience']"
9537,C1,"['Social_Closing', 'Social_Closing', 'Social_Closing']"
10069,C2,"['Other', 'Social_Closing']"
11937,C1,"['Other', 'Information_Reporting', 'Narrative_Experience', 'Narrative_Experience']"
12250,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
12780,C1,"['Social_Opening', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
16409,B1,"['Self_Introduction', 'Self_Introduction']"
16445,B1,"['Social_Closing', 'Opinion_Evaluation', 'Physical_Description', 'Opinion_Evaluation', 'Social_Closing']"
19341,C1,"['Information_Reporting', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Other', 'Daily_Routine', 'Other', 'Social_Closing', 'Social_Closing']"
22494,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Other', 'Information_Reporting']"
22847,B1,['Information_Reporting']
23680,C1,"['Social_Opening', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Other', 'Other', 'Information_Reporting', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
26314,A2,"['Information_Reporting', 'Physical_Description', 'Daily_Routine', 'Daily_Routine']"
29262,C1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Other', 'Physical_Description']"
30528,A2,"['Self_Introduction', 'Information_Reporting', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine']"
