writing_id,task_topic,task_type,c2_task_topic,edit_distance,move_sequence,c2_sequence,feedback_rag,feedback_oneshot,RAG_specificity,RAG_helpfulness,RAG_validity,One-shot_specificity,One-shot_helpfulness,One-shot_validity,rag_vs_oneshot_specificity,rag_vs_oneshot_helpfulness,rag_vs_oneshot_validity,heuristic_flags,error_type_primary,error_type_secondary,notes
694,Writing an online profile,narrative,Writing a resume,3,Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing -> Social_Closing,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start with a social opening, then keep introducing yourself multiple times. You end with two social closings.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers use fewer self-introductions and more variety in their moves.

ONE THING TO TRY:
Try adding one more sentence about your interests or hobbies to make it more interesting. This is a Social_Opening move that can engage the reader better.","Great job telling us your name and where you're from! You could add a little more about what you do now or your interests. This would make your profile more interesting. Think of it like adding a few fun facts at the end, like ""I love playing soccer!"" Keep up the good work, Ronaldo!",3.0,3.0,2.0,4.0,4.0,4.0,-1.0,-1.0,-2.0,"abstract-advice, explicit-move-label, large-validity-gap, large-helpfulness-gap",inaccurate move labelling,pedagogically weak contrast,Suggests adding hobbies but labels the revision as a Social_Opening move.
2698,Writing an online profile,narrative,Writing a resume,4,Self_Introduction -> Self_Introduction -> Self_Introduction -> Opinion_Evaluation -> Social_Opening -> Social_Closing,Information_Reporting -> Information_Reporting -> Social_Closing -> Opinion_Evaluation -> Social_Closing -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by introducing yourself twice and then say you like to cook. You end with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often provide more information about themselves before ending the profile.

ONE THING TO TRY:
Try adding one or two sentences about your interests or hobbies after introducing yourself, like ""I enjoy traveling and meeting new people."" This will help give others a better idea of who you are.","Great job! You have all the main parts of your profile. You started with introducing yourself, told us where you're from and what you like to do. It's clear and easy to understand. Maybe you could add a bit more about yourself or your interests to make it longer and more interesting. Keep up the good work!",3.0,3.0,2.0,4.0,3.2,4.0,-1.0,-0.2000000000000001,-2.0,"weaker-retrieval, large-validity-gap",generic feedback,pedagogically weak contrast,Advice to add more interests is broadly appropriate but too general and only weakly grounded in the diagnosed contrast.
2861,Updating your online profile,narrative,Writing a resume,4,Self_Introduction -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Other -> Information_Reporting -> Information_Reporting,Information_Reporting -> Information_Reporting -> Information_Reporting -> Information_Reporting -> Information_Reporting -> Information_Reporting,"YOUR CURRENT STRUCTURE:
You keep repeating your self-introduction and tell us about yourself over and over.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually introduce themselves once and then move on to the main topic without repetition.

ONE THING TO TRY:
Try introducing yourself only once, like at the beginning. Then focus on updating your online profile by adding interesting information about your job or hobbies. This will make your writing more varied and engaging.","Great job telling us about yourself! You start with your name and age, then where you're from. Then you tell us about your job and where you work. This is easy to follow. Next time, try grouping the information about your job together at the end to make it look more organized. Keep up the good work!",3.0,2.8,2.4,4.0,4.0,4.0,-1.0,-1.2000000000000002,-1.6,"repetition-focused, weaker-retrieval, large-validity-gap, large-helpfulness-gap",pedagogically weak contrast,task mismatch,Focuses on repeated self-introduction rather than the more useful issue of organizing profile information for the update task.
2878,Signing up for a dating website,narrative,Writing a resume,3,Physical_Description -> Physical_Description -> Physical_Description -> Opinion_Evaluation,Information_Reporting -> Physical_Description -> Social_Closing,"YOUR CURRENT STRUCTURE:
You describe yourself three times and then say you are happy.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically start with providing information about themselves before closing the essay, unlike your repeated physical descriptions.

ONE THING TO TRY:
Start by describing one aspect of yourself, like your age or interests. This follows a more common structure and helps focus on who you are. Use ""Information_Reporting"" to begin.","Great job! You're telling us about yourself in a clear way. It’s good that you included your name, age, and physical description. Next time, you could add more details about what you like or are interested in. This will help people get to know you better. Keep up the good work!",3.0,2.4,2.6,3.0,3.0,4.0,0.0,-0.6000000000000001,-1.4,"repetition-focused, explicit-move-label, large-validity-gap",inaccurate move labelling,task mismatch,Treats age or interests as Information_Reporting in a way that weakens the dating-profile purpose of the suggestion.
796,Introducing yourself by email,narrative,Writing a resume,4,Social_Opening -> Social_Closing -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Other -> Social_Closing,Social_Opening -> Information_Reporting -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by greeting Anna and then introduce yourself a few times. You also mention your family plans at the end.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often report information clearly in one part of their text, which is missing here.

ONE THING TO TRY:
Try introducing yourself just once and add some details about where you work or what you like to do. This will make your email more organized and easier to read. You can use ""I live in Belo Horizonte and I work as a teacher.""","Great job, Elias! Your message is easy to understand. You start by saying hello and asking Anna how she is. Then you tell her your name and age. Next, you share where you live and who you live with. Finally, you end with a friendly note. This structure is clear and easy for Anna to follow. Keep it up!",3.0,2.6,2.0,3.8,4.0,3.2,-0.7999999999999998,-1.4,-1.2000000000000002,"weaker-retrieval, large-validity-gap, large-helpfulness-gap",pedagogically weak contrast,generic feedback,"Diagnoses a missing reporting section even though the email is already structurally clear, leading to unnecessary generic advice."
1940,Signing up for a dating website,narrative,Writing a resume,3,Physical_Description -> Other -> Physical_Description -> Physical_Description -> Opinion_Evaluation,Information_Reporting -> Physical_Description -> Social_Closing,"YOUR CURRENT STRUCTURE:
You describe yourself physically three times and then say you are happy.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically start with describing their physical appearance once, followed by an opinion or evaluation about themselves.

ONE THING TO TRY:
Start your description by mentioning your height and build just once, like ""I am tall and slim."" Then share your opinions or feelings afterward. This will help organize your thoughts better.","Great job, Marco! You're doing well by telling us about yourself in a clear way. It's good that you included your name, age, and physical description. Next time, try grouping similar information together to make it easier to read. For example, put all the physical details like hair color, eye color, height, and weight in one place. Keep up the good work!",3.0,3.0,2.8,3.0,3.0,4.0,0.0,0.0,-1.2000000000000002,large-validity-gap,pedagogically weak contrast,task mismatch,The A1-C2 contrast is overinterpreted into a rigid ordering rule rather than advice that better serves the dating-profile task.
380,Making a dinner party menu,descriptive,Rescheduling an appointment,2,Social_Opening -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,Social_Closing -> Social_Closing -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start with a greeting and then list your menu items without any closing remarks.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often close their writing to show they are finished. The C2 sequence ends with Social_Closing twice, which helps clarify the end of the text.

ONE THING TO TRY:
Add a sentence at the end saying ""See you soon, Andreza"" or something similar to close your menu list properly. This is a Social_Closing move that shows you are done.","Great job organizing your menu into different parts! You have starters, main courses, desserts, and drinks. To make it even clearer, you could add short sentences to introduce each section, like ""Let's start with some tasty starters..."" or ""For the main course, we'll have..."". Keep up the good work!",3.0,2.6,3.0,4.0,4.0,4.0,-1.0,-1.4,-1.0,"explicit-move-label, large-validity-gap, large-helpfulness-gap",task mismatch,inaccurate move labelling,"Adds a social closing to a menu task, which is not the most appropriate structural improvement for this genre."
246,Signing up for a dating website,narrative,Writing a resume,3,Physical_Description -> Physical_Description -> Opinion_Evaluation -> Opinion_Evaluation,Information_Reporting -> Physical_Description -> Social_Closing,"YOUR CURRENT STRUCTURE:
You describe yourself twice and then give your opinions.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually introduce themselves first with a physical description before sharing their opinions.

ONE THING TO TRY:
Start by describing your appearance, like ""I'm short and slim with blond hair and green eyes."" This helps set the scene for readers.","Great job telling us about yourself! You share your name and age first, then describe what you look like. This is clear and easy to follow. One idea is to add a bit more about your interests or what you're looking for in a partner. Otherwise, well done! Keep it simple and positive.",3.0,3.0,3.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,"large-validity-gap, large-helpfulness-gap",task mismatch,pedagogically weak contrast,Pushes the learner toward physical description order instead of suggesting more useful dating-profile content such as interests or partner goals.
2330,Introducing yourself by email,narrative,Writing a resume,3,Social_Opening -> Social_Closing -> Social_Opening -> Self_Introduction -> Self_Introduction -> Social_Closing -> Social_Closing,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start with a social opening, then introduce yourself, and end with two closings.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically have a more balanced structure without repetitive openings and closings.

ONE THING TO TRY:
Try adding one self-introduction move between your current ones. For example: ""Hi! Fine thanks. How are you? My name's Cristina, I'm 26 years old."" This will make your email more organized and clear.","Great start, Cristina! You've included important parts like saying hello, asking how the other person is doing, and mentioning your name and age. It’s good to keep it simple. Adding a little more detail about where you are from or what you do could make your email even better! Keep up the good work!",2.8,2.0,2.0,4.0,3.0,3.0,-1.2000000000000002,-1.0,-1.0,"closing-emphasis, large-validity-gap, large-helpfulness-gap",pedagogically weak contrast,task mismatch,The contrast leads to an odd suggestion to add another self-introduction move rather than expanding the email with more relevant personal details.
2389,Signing up for a dating website,narrative,Writing a resume,3,Self_Introduction -> Physical_Description -> Physical_Description -> Other -> Physical_Description,Information_Reporting -> Physical_Description -> Social_Closing,"YOUR CURRENT STRUCTURE:
You start by introducing yourself and then describe your physical appearance three times.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically introduce themselves once and then move on to describing their physical characteristics just once.

ONE THING TO TRY:
Try writing a clear self-introduction at the beginning, followed by a single description of how you look. This will make your essay more organized and easier to read.","Great job, Marco! You've introduced yourself clearly with your name and age first. It’s good that you mentioned your physical traits next. To make it even clearer, try grouping related information together. For example, put all the physical details like hair color and height in one sentence. Keep up the good work!",3.0,3.0,3.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,"abstract-advice, large-validity-gap, large-helpfulness-gap",generic feedback,pedagogically weak contrast,The suggestion to write a clearer introduction and single description is plausible but broad and not especially tailored to the essay.
