writing_id,cefr_level,topic_id,sentence_index,sentence,cluster_id,cluster_id_v2
527609,A1,5,0,Hi!,12,1
527609,A1,5,1,I'm Masha.,27,2
527609,A1,5,2,I'm fourteen years old.,20,24
527609,A1,5,3,I'm from Russia.,11,3
527609,A1,5,4,I live in Moscow.,11,3
527609,A1,5,5,I'm a pianist.,13,22
527609,A1,5,6,I'll be an actress or director soon.,21,16
527609,A1,5,7,I like all my jobs.),21,-1
1160778,A1,2,0,iluminated and clean.,22,-1
1160778,A1,2,1,thereCThere are some plants.,-1,37
1160778,A1,2,2,"thereCThere is a kitchen, a meeting room.",19,30
832274,A1,1,0,"myCMy name is Lisa Zhou,AS I'm a girl RS,AS I come from chinaCChina,PU.AS I think englishCEnglish is very useful,AS I want to learn about Dit.",25,3
555617,A1,5,0,I am Leo PU.I am 50.,20,24
555617,A1,5,1,"I live in Dalian, China I am an engineer PU.I work in an office PU.I like my job.",21,3
537009,A1,1,0,"I'm 26 year live in fortaleza cear, started in the course of two weeks and do not know where to go, sorry for something and I ask you to be patient, I'm loving the course and I intend to do as much to learn.",-1,3
974657,A1,1,0,Good evening.PU!,0,15
974657,A1,1,1,"How are you?.D I'm fine, thanks.",10,-1
974657,A1,1,2,Dyou'reCYou're busy.,5,35
974657,A1,1,3,?D RS Good night.PU!,0,1
233953,A1,6,0,"I'm not very tall,I'm slim.",20,4
233953,A1,6,1,I have short blck hair and big brwon eyes.,1,4
233953,A1,6,2,I have big nose.,1,4
233953,A1,6,3,Ihave long legs and small feet.I'm very happy.,7,29
426596,A1,5,0,"My name is Heraldo,PU.",27,2
426596,A1,5,1,I'm forty-two yaersSPyears old.,20,24
426596,A1,5,2,I'm a teacher and I work in school.,21,43
426596,A1,5,3,"I ISam from BrasilSPBrazilPU, but I leveSPlive in Belo Horizonte, Minas Gerais.",11,3
426596,A1,5,4,Nice teSPto meet you.,-1,-1
426596,A1,5,5,Good bye!,2,0
247195,A1,4,0,Hello.,12,1
247195,A1,4,1,There are five people in my family.,20,25
247195,A1,4,2,I have a mother and a father.,20,25
247195,A1,4,3,My mother is fifty-five and my father is sixty.,20,25
247195,A1,4,4,My brother is twenty-eight and my grandmother is eighty-seven.,20,25
247195,A1,4,5,They live in Brazil.,11,3
896761,A1,3,0,"I live in Macei, MWit has a beautiful beach, thereWCit is a hot city.",30,37
896761,A1,3,1,In DdowtonSPDowntown there are a lot PRof shops and streets busyWObusy streets.,28,38
267129,A1,7,0,T-SHIRT R$70 BAG R$120 SHIRT R$50 SKIRT R$ 85 SHOES R$ 150 PANTS R$ 200,6,17
597107,A1,3,0,1- Big Hat has agreed to let us toD do their TV ads.,21,-1
597107,A1,3,1,2- Shary MWhas to ask Allison from Big H about their requirements by next week's meeting.,21,-1
597107,A1,3,2,3- Alex and his team MWhas to brainstorm possible ad ideas by next week's meeting.,21,-1
597107,A1,3,3,4- Sam MWhas to book a table for 18 people in a Japanese restaurant regarding our office party at end of the month.,19,-1
524309,A1,3,0,Hi!My name is Lucy.,27,2
524309,A1,3,1,I am 23 years old.,20,24
524309,A1,3,2,"I am from Zhe Jiang, in China.",25,3
524309,A1,3,3,I live in Jiang Su.Bye!,25,3
1028950,A1,1,0,Good evening.,0,1
1028950,A1,1,1,How are you?,0,-1
1028950,A1,1,2,"I''m fine, thanks.",10,-1
1028950,A1,1,3,we''reCWe''re busy.,5,35
1028950,A1,1,4,Good night.,0,1
470987,A1,7,0,pink sweater 3.00 USD black skirt 5.00 USD pink pants 6.00 USD orange blouse 10.00 USD gray shirt 15.00 USD gray skirt 5.00 USD gray pants 10.00 USD blue t-shirt 6.00 USD blak skirt 6.00 USD,6,17
868342,A1,5,0,"iCI usually shop PRfor electronics online, if iCI now what to by.AS thereWCThe are electronics cheapWCelectronics are cheaper.AS I like shopingSPshopping in the mall.AS There are a lot of sales.",-1,17
868342,A1,5,1,Sometimes there areWCis unD usually things.,-1,27
1041168,A1,3,0,"Now,AS I live in Siping.AS The DSiping is the third city in Jilin.AS I studied in Jilin Normal University.",25,3
1041168,A1,3,1,"There are many trees RS, grass and flowers in it.AS There is a library in it.AS It's very crowSPded and dirty.AS And  RSit's always windy.",30,37
289571,A1,1,0,"hi, My name's Moiss.",27,2
289571,A1,1,1,"I''m 30 years old, I have a beautiful family is my wife Denise and son Bruno.",20,25
289571,A1,1,2,I need to study English because a lot of my work.,-1,-1
289571,A1,1,3,Good bless you,0,5
1105350,A1,2,0,"In the office, there are some desksPU, some computers MWand some chairs.",19,30
1105350,A1,2,1,There are a lot of mouses and a lot of keyboard.,19,30
1185175,A1,6,0,"The Restaurant at the cross is vertySPvery delicious and expansiveSP expensive, butAR the foodsWCfood is vertySPvery spacySP spicy.",28,39
1185175,A1,6,1,Do you like sacySPspicy food?,28,39
1185175,A1,6,2,"The sandwiches and salads are really good, and dessert and fruits are very good, too.",28,39
1185175,A1,6,3,The coffee is bad.,28,39
320498,A1,3,0,"Hi!My name's Jnio Csar.I'm thirty-four years old.I'm from Ituiutaba-MG, but live in So Bernardo do Campo-SP, in Brazil.Nice to meet you.Bye!",25,3
1142998,A1,6,0,The Chinese Garden is a very good restaurant.,28,39
1142998,A1,6,1,They have spicy food and delicious sweet-sour rice.,28,39
1142998,A1,6,2,The dessert is really nice and the people are friendly.,28,39
1111824,A1,1,0,Good Evening.,0,1
1111824,A1,1,1,How are you.PU?,0,15
1111824,A1,1,2,"I''m fine, thank''s.",10,-1
1111824,A1,1,3,WCthanks.,-1,8
1111824,A1,1,4,We''r WCWe're busy.,5,35
1111824,A1,1,5,Good Night.,0,1
200963,A1,7,0,Pink shirt 8.99MWdollarsOrange dress 12.99MWdollarsGray shirt 13.99MWdollarsGray short skirt 15.99MWdollarsBlue shirt 10.99MWdollarsBlack body black 5.99MWdollarsWhite body black 3.99MWdollarsBlack short skirt 7.99MWdollarsPink pants 6.99MWdollarsBlue Jeans 8.99MWdollarsGray pants 9.99MWdollarsBlue shoes 19.99MWdollarsOrange bag 12.99MWdollarsYellow bag 11.99MWdollarsNecklace 4.99 MWdollars,6,17
241674,A1,7,0,Sale!,10,41
241674,A1,7,1,Fine feathers make fine birds!,4,33
241674,A1,7,2,"Sale!blackCBlack skirt $10blueCBlue or black shirt $5smallCSmall grey pants $8longCLong orange jumper $5Today's special offer:dressesCDresses, combination of black skirt and pink jacket $7,50",6,17
1049327,A1,2,0,CODE OF CONDUCT Employees are required to follow these code of conduct at all times: -SPe Do not arrive at the office later than 10 am and do not leave before 17 pm -SPe Do not eat warm dishes at the office -SPe Arrive for meetings on time -SPe Do daily reportingsSPreporting to your team leader -SPe Implement a signature to your email account,6,14
996499,A1,5,0,"I think inARthe mall is very expensive, so I usually byWCbuy in ARa small shop.",28,18
996499,A1,5,1,I can walk the street andoSPand see differentsSPdifferent stores.,28,38
276098,A1,6,0,My name''s Ramiro Sanchez.,27,2
276098,A1,6,1,I have WCam 45 years old.,21,24
276098,A1,6,2,I have black hair and brown eyes.I''m tall and fat.,1,4
276098,A1,6,3,I have short black hair and small brown eyes.,1,4
276098,A1,6,4,I am very happy.,-1,29
951459,A1,1,0,"Good evening.PU, How are you?",0,15
951459,A1,1,1,"I'm fine, thanks.",10,-1
951459,A1,1,2,We're busy.,5,35
951459,A1,1,3,Good night.,0,1
215906,A1,1,0,"Myname's John, Iamfrom Kaohsiung.EnglishisPainfulto me thatalotofhopethat teachers will teach.",25,2
334092,A1,1,0,"Hi, my name's Marcus Welby.",27,2
334092,A1,1,1,I'm brazilianCBrazilian.,11,3
334092,A1,1,2,"I'm very nervous because I'mXCI only begunXCstarted, but I need to pratice, it'sD right?",-1,-1
334092,A1,1,3,"For today, it's just this (or &quot;it's only&quot;, correct?).",9,8
334092,A1,1,4,Thank you for POyour attention.,-1,5
671878,A1,3,0,"I live in Yaroslavl.AS It is a beautiful and busy city.AS There are a lot of churchPLchurchs,MW and parks.AS There is a beautiful theater.AS Yaroslavl is a great city!",30,37
872413,A1,6,0,I know a good restaurant.,28,39
872413,A1,6,1,Its name is ((())).,9,8
872413,A1,6,2,It is familiar with its fast food.,28,39
872413,A1,6,3,"The restaurant providePLprovides FrechSPFrench fries, fried chicken, hamburgers(also have spciySPspicy tasted) sandwiches and fresh garden salad.",28,39
872413,A1,6,4,We also can have fruit juice and soft drink.,28,39
633878,A1,5,0,Hi.,12,1
633878,A1,5,1,"RS My name's Juan Brites RS, I'm forty years old.",25,24
633878,A1,5,2,RS I'm from  RSthe  RSUK PU.,9,8
633878,A1,5,3,"I live in Boston RS.AS I'm ARa chefPU, I like my job.",21,3
659387,A1,2,0,"Dear Ms Thomas, There are 13 computers and 16 keyboards in the office.",19,-1
659387,A1,2,1,"Also, there are 16 headphone, 30 pens, 15 pencils, 12 desks, 14 chairs and 1 table.",19,-1
659387,A1,2,2,"RS Best RegardsPU,",-1,5
387549,A1,1,0,Hello teacher!,12,1
387549,A1,1,1,My name is Diogo Cordone.,27,2
387549,A1,1,2,Nice to meet you!,-1,-1
387549,A1,1,3,"I am from Brazil, and I really want to learn English, because I need to read books in English and I like to travel to other countries.",-1,-1
387549,A1,1,4,Thank you!,-1,5
387549,A1,1,5,Goodbye!,2,0
1125650,A1,6,0,I know a good restaurant toPRfor the ARlunch.,28,39
1125650,A1,6,1,"In this restaurant, the food is really very good.",28,39
1125650,A1,6,2,The meat is excellent; the vegetables of the salads are fresh.,28,39
1125650,A1,6,3,"The desserts are, usually, chocolate cake orWCand ice cream.",28,39
983881,A1,1,0,Good evening.PU!,0,15
983881,A1,1,1,How are you?,0,-1
983881,A1,1,2,"I'm fine RS, thanks.",10,-1
983881,A1,1,3,we'reCWe're  RSbusy.,9,35
983881,A1,1,4,Good night.PU!,0,1
796512,A1,4,0,"In my office, MWI workingWCwork with 4 peaplesSPpeoples.",21,42
796512,A1,4,1,My boss is very busy and very hardworking.,21,36
796512,A1,4,2,He is a peaple friendly and funnyWOfriendly and funny person.,21,29
796512,A1,4,3,He travel always on mondaysCMondays.,23,-1
796512,A1,4,4,I like very DofPRto travel with himMW very much.,31,-1
796512,A1,4,5,We are always together.,10,-1
961982,A1,1,0,Good evening RS.,0,1
961982,A1,1,1,How are you?,0,-1
961982,A1,1,2,"I'm fine, thanks.",10,-1
961982,A1,1,3,We are busy.,5,35
961982,A1,1,4,Good night.,0,1
