writing_id,cefr_level,topic_id,sentence_index,sentence
527609,A1,5,0,Hi!
527609,A1,5,1,I'm Masha.
527609,A1,5,2,I'm fourteen years old.
527609,A1,5,3,I'm from Russia.
527609,A1,5,4,I live in Moscow.
527609,A1,5,5,I'm a pianist.
527609,A1,5,6,I'll be an actress or director soon.
527609,A1,5,7,I like all my jobs.)
1160778,A1,2,0,iluminated and clean.
1160778,A1,2,1,thereCThere are some plants.
1160778,A1,2,2,"thereCThere is a kitchen, a meeting room."
832274,A1,1,0,"myCMy name is Lisa Zhou,AS I'm a girl RS,AS I come from chinaCChina,PU.AS I think englishCEnglish is very useful,AS I want to learn about Dit."
555617,A1,5,0,I am Leo PU.I am 50.
555617,A1,5,1,"I live in Dalian, China I am an engineer PU.I work in an office PU.I like my job."
537009,A1,1,0,"I'm 26 year live in fortaleza cear, started in the course of two weeks and do not know where to go, sorry for something and I ask you to be patient, I'm loving the course and I intend to do as much to learn."
974657,A1,1,0,Good evening.PU!
974657,A1,1,1,"How are you?.D I'm fine, thanks."
974657,A1,1,2,Dyou'reCYou're busy.
974657,A1,1,3,?D RS Good night.PU!
233953,A1,6,0,"I'm not very tall,I'm slim."
787634,A2,9,0,My name is Flvia.AS I live in Brazil.
787634,A2,9,1,My day is very good.
787634,A2,9,2,I get up at 9 in the morning.
787634,A2,9,3,I check MWmy emails.
787634,A2,9,4,I have lunchaSPlunch at noon.
557762,A2,13,0,Welcome to my house.
557762,A2,13,1,It is MWin Zhengzhou city.AS It MWis located in Central Henan prov.
557762,A2,13,2,"It has a population of 6,000,000."
557762,A2,13,3,"Its land area is 58,632 square kilometres.AS There are many things near my house.AS Opposite my house is a good department store.%% There is a library on the Tongbai Road."
557762,A2,13,4,"Best wishes.PU,"
225514,A2,9,0,"Hi, my name's Tanya."
225514,A2,9,1,My favorite day is Sunday.
225514,A2,9,2,"On Sunday, I get up at 8 o'clock, have a shower and brush my teeth."
225514,A2,9,3,Then I make a breakfast and eat with my family.
225514,A2,9,4,In the morning I walk with my son.
225514,A2,9,5,I have lunch at 1 o'clock in the afternoon.
225514,A2,9,6,Then I sleep in the afternoon.
225514,A2,9,7,In the evening I go to theatere or have a dinner in the restaurant with my friends.
225514,A2,9,8,I love Sunday!
937302,A2,11,0,"Cool and pleasant Lanzhou,AS China In Lanzhou, summer is from June to August."
484075,B1,20,0,"Hi, Jane no problem."
484075,B1,20,1,You go straight along Liverpool Rd.
484075,B1,20,2,Turn right onto Green Ave. My house is opposite the park and there is between restaurant and supermarket.
484075,B1,20,3,I'm waiting for you.
484075,B1,20,4,By See you.
698986,B1,20,0,My favorite holiday in Brazil is ARthe Carnival!
698986,B1,20,1,MWIt LastsClasts PRfor four days!
698986,B1,20,2,"OccurD duringCDuring the carnival MWthere are parades of samba schools, with great music, samba and color!"
