writing_id,topic_id,task_topic,task_type,essay_text,move_sequence,c2_writing_id,c2_topic_id,c2_task_topic,c2_sequence,c2_structural_summary,edit_distance,feedback_rag,feedback_baseline,feedback_oneshot
246,6,Signing up for a dating website,narrative,Name: Joel Faquinha Age: 23 Hair Color: Blond Eye Color: Green Describe yourself: I'm short and slim. I have a beautiful smile and short hair. I'm young and happy! I love my life and my friends.,Physical_Description -> Physical_Description -> Opinion_Evaluation -> Opinion_Evaluation,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You describe yourself twice and then give your opinions.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually introduce themselves first with a physical description before sharing their opinions.

ONE THING TO TRY:
Start by describing your appearance, like ""I'm short and slim with blond hair and green eyes."" This helps set the scene for readers.","Great job, Joel! Your writing is clear and easy to understand. Here’s a suggestion to make it even better:

1. Start with introducing yourself: ""My name is Joel Faquinha, I am 23 years old.""
2. Add where you live or any special details about your life.
3. Talk about what you like: ""I love spending time with my friends and enjoying life!""
4. End by saying why you want to sign up for a dating website: ""I want to meet new people who share similar interests.""

Remember, it's okay to be simple! Keep going, you're doing great!","Great job telling us about yourself! You share your name and age first, then describe what you look like. This is clear and easy to follow. One idea is to add a bit more about your interests or what you're looking for in a partner. Otherwise, well done! Keep it simple and positive."
270,1,Introducing yourself by email,narrative,Hello! I'm fine thanks.How are you? My name's Marcelo. I'm 20 years old. bye!,Social_Opening -> Social_Closing -> Self_Introduction -> Self_Introduction -> Social_Closing,988368,44,Writing a resume,Social_Opening -> Information_Reporting -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Social_Opening, Information_Reporting, Social_Closing. It begins with Social_Opening and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start with a social opening, then introduce yourself twice and end with a social closing.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers might include more information about themselves without repeating the introduction.

ONE THING TO TRY:
Try adding one or two sentences about your interests or what you like to do. This will make your email more interesting and longer, which is good for A1 level writing. This would be an ""Information_Reporting"" move.","Great job starting your email! You did a good job saying hello and asking how someone is. It’s nice to see you introduced yourself by name and age too. Just remember to keep it organized with clear moves: start, middle, end. Maybe add one more sentence at the end, like ""Looking forward to hearing from you!"" That way, your email feels complete. Keep practicing!","Great start! You've introduced yourself and mentioned how you are doing. It's good to include a question at the end to show interest in the other person. Next time, try adding more about yourself by including where you're from or what you like to do. Keep it simple and friendly!"
380,8,Making a dinner party menu,descriptive,"Hi! This is the menu: The Stater is cheese and vegetables. Main Course is rice in chicken ans rice in meat. Dessert is vanilha ice cream or vanilha cake. Drinks have water, beer and delicious juice. Bye Andreza",Social_Opening -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,62889,48,Rescheduling an appointment,Social_Closing -> Social_Closing -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,"The sequence contains 7 moves. It uses these move types: Social_Closing, Opinion_Evaluation. Repeated runs: Social_Closing x2, Opinion_Evaluation x4. It begins with Social_Closing and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start with a greeting and then list your menu items without any closing remarks.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often close their writing to show they are finished. The C2 sequence ends with Social_Closing twice, which helps clarify the end of the text.

ONE THING TO TRY:
Add a sentence at the end saying ""See you soon, Andreza"" or something similar to close your menu list properly. This is a Social_Closing move that shows you are done.","Hi! Great job making a menu!

Your essay is like a list of dishes. It tells us what to eat at dinner time. Here's a small suggestion to make it easier to read: 

You could start by saying ""This is the menu:"". Then, you can write:

- Starter: cheese and vegetables
- Main course: chicken rice and meat rice
- Dessert: vanilla ice cream or vanilla cake
- Drinks: water, beer, and delicious juice

Keep up the good work!","Great job organizing your menu into different parts! You have starters, main courses, desserts, and drinks. To make it even clearer, you could add short sentences to introduce each section, like ""Let's start with some tasty starters..."" or ""For the main course, we'll have..."". Keep up the good work!"
694,3,Writing an online profile,narrative,"Hello! My name's Ronaldo Ruy. I'm twenty-nine years old. I'm from Rio de Janeiro, in Brazil, but nowadays I live in Ceara. Nice to meet you. Good bye! Ronaldo",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing -> Social_Closing,1071769,44,Writing a resume,Social_Opening -> Social_Opening -> Social_Closing -> Social_Closing,"The sequence contains 4 moves. It uses these move types: Social_Opening, Social_Closing. Repeated runs: Social_Opening x2, Social_Closing x2. It begins with Social_Opening and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start with a social opening, then keep introducing yourself multiple times. You end with two social closings.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers use fewer self-introductions and more variety in their moves.

ONE THING TO TRY:
Try adding one more sentence about your interests or hobbies to make it more interesting. This is a Social_Opening move that can engage the reader better.","Great job, Ronaldo! Your essay is clear and direct. To make it a bit better, you could add an introduction that tells us more about yourself. For example, you might say why you made this profile or what you hope to find on the internet. Then, you can mention your age and where you're from. Finally, end with a friendly greeting. This way, you give more information and make it easier for readers to connect with you. Keep up the good work!","Great job telling us your name and where you're from! You could add a little more about what you do now or your interests. This would make your profile more interesting. Think of it like adding a few fun facts at the end, like ""I love playing soccer!"" Keep up the good work, Ronaldo!"
796,1,Introducing yourself by email,narrative,"Hi Anna! I'm fine, thanks. My name's Elias. I'm 34 years old. I'm from Brasil and i live in the city of Belo Horizonte with my dog and my wife Ana Beatriz. We don't have kids, but we are thinking about this. Regards, Elias Peixoto.",Social_Opening -> Social_Closing -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Other -> Social_Closing,988368,44,Writing a resume,Social_Opening -> Information_Reporting -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Social_Opening, Information_Reporting, Social_Closing. It begins with Social_Opening and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by greeting Anna and then introduce yourself a few times. You also mention your family plans at the end.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often report information clearly in one part of their text, which is missing here.

ONE THING TO TRY:
Try introducing yourself just once and add some details about where you work or what you like to do. This will make your email more organized and easier to read. You can use ""I live in Belo Horizonte and I work as a teacher.""","Great job starting with ""Hi Anna!"" and introducing yourself! Your essay has a good start. Here’s a small suggestion to make it even clearer: you could add a bit about why you are writing. Maybe say something like, ""How are you? I hope this email finds you well."" Then, after that, you can continue as before. Keep up the good work!","Great job, Elias! Your message is easy to understand. You start by saying hello and asking Anna how she is. Then you tell her your name and age. Next, you share where you live and who you live with. Finally, you end with a friendly note. This structure is clear and easy for Anna to follow. Keep it up!"
1432,1,Introducing yourself by email,narrative,hello fine what is your name ? how old are you ? my name diego . i'm 23 years old. bye diego,Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Closing,988368,44,Writing a resume,Social_Opening -> Information_Reporting -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Social_Opening, Information_Reporting, Social_Closing. It begins with Social_Opening and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You start by asking a question, then introduce yourself twice, and end with a goodbye.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers usually report information rather than just asking questions or saying goodbye repeatedly.

ONE THING TO TRY:
Try to include more about yourself in your email. For example, you could say ""I am Diego, 23 years old, and I like playing soccer."" This is an Information_Reporting move.","Hello Diego! 

Your email is a good start. You asked some questions and answered them too. Here's an idea to make it clearer:

1. Start with ""Hello [name],""
2. Introduce yourself: ""My name is Diego.""
3. Ask about the other person: ""What's your name?""
4. End nicely: ""Nice to meet you!""

This helps organize your thoughts better and makes it easier for the reader to follow. Great job!","Great start! You've asked about names and ages nicely. Try combining those questions into one sentence like ""Hello, my name is Diego. I am 23 years old."" Then you can share more about yourself next. It's good to keep it simple but clear. Keep going!"
1476,6,Signing up for a dating website,narrative,Name: Daniele SoaresAge: 23Hair Color: BlondEye Color: GreenDescribe yourself:I am tall and slim. I have long blond hair and green eyes. I have face thinWCa thin face. I am happy.,Physical_Description -> Physical_Description -> Physical_Description -> Opinion_Evaluation,132225,44,Writing a resume,Information_Reporting -> Physical_Description -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Information_Reporting, Physical_Description, Social_Closing. It begins with Information_Reporting and ends with Social_Closing.",3,"YOUR CURRENT STRUCTURE:
You describe yourself three times and then share an opinion.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically start with a general introduction before describing themselves or sharing opinions.

ONE THING TO TRY:
Try starting your essay by saying what you want to do, like ""I am signing up for a dating website."" This is called Information_Reporting.","Great job, Daniele! Your essay has some good ideas. It's like telling a story about yourself. However, it could be easier to understand if you make a few changes. Try starting with one sentence that tells who you are and what you want to do. Then describe your appearance in one sentence, and end by saying how you feel. For example:

""I am 23 years old and I'm signing up for a dating website. I have long blond hair and green eyes, and I'm tall and slim with a thin face. I am happy."" 

This way, it's clearer what you're doing and why. Keep trying!","Great job telling us about yourself! You share your name and age first, then describe what you look like. It’s clear, but a little mixed up. Try grouping similar information together. For example, say ""I am tall and slim with long blond hair and green eyes."" Then, add ""I have a thin face."" This makes it easier to read! Keep up the good work, Daniele!"
1479,8,Making a dinner party menu,descriptive,Hi! This is the menu: Main Course: cheese and vegetables. The starter is ice cream. The dessert is fruit. The drinks isAGare coke and water. Daniele,Social_Opening -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,62889,48,Rescheduling an appointment,Social_Closing -> Social_Closing -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Opinion_Evaluation -> Social_Closing,"The sequence contains 7 moves. It uses these move types: Social_Closing, Opinion_Evaluation. Repeated runs: Social_Closing x2, Opinion_Evaluation x4. It begins with Social_Closing and ends with Social_Closing.",2,"YOUR CURRENT STRUCTURE:
You start with a greeting and then list your menu items one by one without any closing remarks.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers often use a social opening to begin and a closing remark to end their writing, even in simple tasks like making a dinner party menu.

ONE THING TO TRY:
Try adding a polite closing at the end of your essay. For example: ""Thank you for reading my menu."" This is a Social_Closing move that will make your writing more complete and polite.","Hi Daniele!

Great job making a dinner party menu! Here are some tips to make your writing easier to understand:

1. Start with a greeting: You did this well!
2. List each part of the meal clearly:
   - Starter
   - Main Course
   - Dessert
   - Drinks

3. Add a comma after ""Dessert is fruit"" and ""Drinks are"":

It's a good start! Keep practicing, and your writing will get better and clearer.","Great job organizing your menu into main course, starter, dessert, and drinks! Adding a short sentence at the beginning to introduce the menu would be helpful. For example: ""Here is my dinner party menu:"" This makes it clear what you're sharing. Keep up the good work!"
1753,1,Introducing yourself by email,narrative,"Hello! Anna. I'm fine,thanks. My name's Angel. I'm Thirty-four. Bye! Angel.",Social_Opening -> Social_Closing -> Social_Closing -> Self_Introduction -> Self_Introduction -> Social_Closing -> Social_Closing,925415,44,Writing a resume,Information_Reporting -> Information_Reporting -> Social_Closing -> Opinion_Evaluation -> Social_Closing -> Social_Closing,"The sequence contains 6 moves. It uses these move types: Information_Reporting, Social_Closing, Opinion_Evaluation. Repeated runs: Information_Reporting x2, Social_Closing x2. It begins with Information_Reporting and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
Your message starts with a greeting and then introduces yourself twice. You also include two closings.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically structure their messages more clearly by using different types of moves, like providing information or sharing opinions.

ONE THING TO TRY:
Add one sentence about your interests or hobbies after introducing yourself. This will help make your message more interesting and informative, which is a good way to share about yourself. This move type is called ""Information_Reporting.""","Great job starting with ""Hello!"" and introducing yourself! Here’s a small suggestion to make your email more organized:

""Hello! My name is Angel. I am fine, thank you. I am thirty-four years old. Bye, Angel.""

You did a good job saying hello at the beginning and goodbye at the end. Adding ""My name is"" makes it clearer who you are talking about. Keep up the good work!","Great job starting with a greeting! You're doing well by introducing yourself and stating how you are. It's good that you ended with your name again to show it’s you sending the email. Next time, try adding a bit more about yourself after saying you're fine, like where you live or what you do. This will make your introduction longer and more interesting! Keep up the good work!"
1755,3,Writing an online profile,narrative,"Hi! My name's Angel. I'm thirty-four years old. I'm from Luoyang, in China. Nice to meet you,too. Bye!",Social_Opening -> Self_Introduction -> Self_Introduction -> Self_Introduction -> Social_Opening -> Social_Closing,988368,44,Writing a resume,Social_Opening -> Information_Reporting -> Social_Closing,"The sequence contains 3 moves. It uses these move types: Social_Opening, Information_Reporting, Social_Closing. It begins with Social_Opening and ends with Social_Closing.",4,"YOUR CURRENT STRUCTURE:
You start by greeting someone, introduce yourself three times, and then end with a goodbye.

WHAT ADVANCED WRITERS DO DIFFERENTLY:
Advanced writers typically provide more information about themselves in a balanced way without repeating the same details multiple times.

ONE THING TO TRY:
Try adding one interesting fact about yourself after introducing your name. This will make your profile more engaging. For example, ""Hi! My name's Angel, and I love traveling. I'm thirty-four years old from Luoyang, China.""","Hi Angel! Great job introducing yourself and saying hello! Your essay has some good parts. Here’s a small suggestion to make it more organized:

1. Start with a friendly greeting.
2. Introduce yourself by name.
3. Share where you're from.
4. End with a polite closing.

Your essay is like a short story. Adding these steps will help your readers understand better and enjoy reading about you! Keep up the good work!","Great start! You told us your name and age first. Then you said where you're from. That’s good! It's clear and easy to understand. Maybe next time, you could add a little more about yourself after saying goodbye. Like what you like or do in your free time. Keep up the good work!"
